method,feature_count,evaluation_samples,accuracy,macro_precision,macro_recall,macro_f1,model_setup_time_ms,classification_time_ms,ms_per_image
GLCM,16,657,0.5662100456621004,0.563488041761421,0.5689325730292115,0.5543307286401401,67.87509983405471,2.931399969384074,0.004461795996018378
LBP,14,657,0.5722983257229832,0.5903607390643805,0.5653497714875423,0.5634206904837119,65.87189994752407,2.918899990618229,0.0044427701531479895
Colour_Texture_Fusion,91,657,0.726027397260274,0.7224558986230156,0.7166763020997874,0.7086617285971212,154.30259983986616,5.514699965715408,0.008393759460754047
