method,feature_count,evaluation_samples,accuracy,macro_precision,macro_recall,macro_f1,model_setup_time_ms,classification_time_ms,ms_per_image
Colour_Texture_Fusion,84,657,0.7473363774733638,0.7521290077675671,0.7437764579516016,0.7361468747537487,409.4193000055384,8.09099999605678,0.012315068487148828
Proposed_PTD_Plus,101,657,0.7640791476407914,0.7747052690069025,0.7641070638781828,0.7587857356945831,59191.34869999834,118.86020001838915,0.18091354645112503
