method,intensity_weight,cosine_weight,iou,dice,precision,recall,overall_score
Otsu + Morphology 7x7,,,0.1952000829088777,0.27969612537326993,0.21972649919769835,0.49762417490564426,0.2980617205963726
Original Otsu,,,0.19425459175960938,0.27872488437120574,0.2186524399576951,0.49776513544523915,0.2973492628834373
Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.1789849910814409,0.26193473312202353,0.2547749871023922,0.3446993176218091,0.26009850723191646
Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.17897989912861545,0.2636573000971336,0.25929573237486725,0.339939007483801,0.26046798477110433
Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.17656477872617557,0.2597463381176983,0.2521237581983588,0.3361786803400151,0.25615338884556194
Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.16959470572165408,0.251497315259829,0.26768519886664405,0.3178890582649775,0.25166656952827615
Cosine-Guided Otsu + Morphology,,,0.10828150007757145,0.16497902450349394,0.24792936514368774,0.17597814816876275,0.17429200947337897
