fruit,category,image,method,intensity_weight,cosine_weight,iou,dice,precision,recall
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.15378115758343897,0.2665690223361406,0.3025399075952771,0.23824282441719444
Grape,Ripe,Grape_Ripe_094.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.011883916525533198,0.02348869535616011,0.015225066195939982,0.05137113785829507
Grape,Overripe,Grape_Overripe_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.031088658191306278,0.060302589780864696,0.03850517413277409,0.13897505894031517
Grape,Rotten,Grape_Rotten_064.jpg,Original Otsu,,,0.3339821620522356,0.5007295772807457,0.33901503981126513,0.95744149246273
Grape,Rotten,Grape_Rotten_064.jpg,Otsu + Morphology 7x7,,,0.33787592619497314,0.505093065178203,0.341638265366083,0.9684350795369367
Grape,Rotten,Grape_Rotten_064.jpg,Cosine-Guided Otsu + Morphology,,,0.025383542538354256,0.04951033732317737,0.07139494743448925,0.03789456150578829
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.17346109568632762,0.29564013042098275,0.22618101545253863,0.4266677771300075
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.15677487770670134,0.27105512183581737,0.21014260167820625,0.3816940118264346
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.14139351355093283,0.24775594371664242,0.19481138823978253,0.3402182060464729
Grape,Rotten,Grape_Rotten_064.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.13031839954916877,0.23058706219618597,0.1842170774209609,0.30815357708003666
Guava,Class_A,Guava_Class_A_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084.jpg,Original Otsu,,,0.4351953669085844,0.6064614991699655,0.44424904587293274,0.9552659103709068
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + Morphology 7x7,,,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,Cosine-Guided Otsu + Morphology,,,0.6557093425605537,0.7920585161964472,0.6815755888154078,0.9452892428996701
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.5500328181872427,0.7097047388074066,0.6803956303513433,0.7416525866924129
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.6105350476980506,0.7581766675251095,0.6984815618221258,0.8290288840614691
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.6439900075524313,0.7834475934695031,0.6985317285273174,0.8918657977311127
Guava,Class_B,Guava_Class_B_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.650086432833324,0.7879422797472204,0.6792914578720429,0.9379676562877142
Guava,Defect,Guava_Defect_084.jpg,Original Otsu,,,0.3246177433389964,0.49013044702349295,0.35604235786029176,0.7862304295463669
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 7x7,,,0.321197276652275,0.48622152395915164,0.35391793605050087,0.7764953833801687
Guava,Defect,Guava_Defect_084.jpg,Cosine-Guided Otsu + Morphology,,,0.42635985220522893,0.5978292946847231,0.86252247137856,0.4574468085106383
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.34822863756188516,0.516572082598121,0.4921399363925488,0.5435568044961863
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.35269995407125515,0.521475517182839,0.5046233278573105,0.5394921718185468
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.3615296263765962,0.5310639142516872,0.5252257557911268,0.5370333199518266
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Cosine (0.5/0.5) + Morphology,0.5,0.5,0.4085895329734804,0.5801399533488837,0.8634199563578655,0.4368225612203934
Mango,Ripe,Mango_Ripe_064.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Cosine-Guided Otsu + Morphology,,,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Weighted Otsu-Cosine (0.8/0.2) + Morphology,0.8,0.2,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Weighted Otsu-Cosine (0.7/0.3) + Morphology,0.7,0.3,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Weighted Otsu-Cosine (0.6/0.4) + Morphology,0.6,0.4,0.0,0.0,0.0,0.0
