,precision,recall,f1-score,support
Green,0.9761904761904762,0.9761904761904762,0.9761904761904762,42.0
Semi-ripe,0.851063829787234,0.975609756097561,0.9090909090909091,41.0
Ripe,0.9714285714285714,0.85,0.9066666666666666,40.0
Overripe,1.0,0.975609756097561,0.9876543209876543,41.0
accuracy,0.9451219512195121,0.9451219512195121,0.9451219512195121,0.9451219512195121
macro avg,0.9496707193515704,0.9443524970963996,0.9449005932339265,164.0
weighted avg,0.9496997553562161,0.9451219512195121,0.9453245189017547,164.0
