filename,original_class,label,RGB_R_mean,RGB_R_std,RGB_G_mean,RGB_G_std,RGB_B_mean,RGB_B_std,RGB_R_hist_0,RGB_R_hist_1,RGB_R_hist_2,RGB_R_hist_3,RGB_R_hist_4,RGB_R_hist_5,RGB_R_hist_6,RGB_R_hist_7,RGB_R_hist_8,RGB_R_hist_9,RGB_R_hist_10,RGB_R_hist_11,RGB_R_hist_12,RGB_R_hist_13,RGB_R_hist_14,RGB_R_hist_15,RGB_G_hist_0,RGB_G_hist_1,RGB_G_hist_2,RGB_G_hist_3,RGB_G_hist_4,RGB_G_hist_5,RGB_G_hist_6,RGB_G_hist_7,RGB_G_hist_8,RGB_G_hist_9,RGB_G_hist_10,RGB_G_hist_11,RGB_G_hist_12,RGB_G_hist_13,RGB_G_hist_14,RGB_G_hist_15,RGB_B_hist_0,RGB_B_hist_1,RGB_B_hist_2,RGB_B_hist_3,RGB_B_hist_4,RGB_B_hist_5,RGB_B_hist_6,RGB_B_hist_7,RGB_B_hist_8,RGB_B_hist_9,RGB_B_hist_10,RGB_B_hist_11,RGB_B_hist_12,RGB_B_hist_13,RGB_B_hist_14,RGB_B_hist_15,RGB_R_dominant,RGB_G_dominant,RGB_B_dominant
Semi_ripe_140.jpeg,Semi-ripe,Semi-ripe,135.90525817871094,27.715167999267578,129.74249267578125,28.078432083129883,99.31827545166016,49.725154876708984,4.0400776924798265e-05,0.0,0.00048480930854566395,0.0060197156853973866,0.0304217841476202,0.06718648970127106,0.09041693806648254,0.18842922151088715,0.1273028403520584,0.21687136590480804,0.2710084021091461,0.0013736264081671834,0.00040400776197202504,4.0400776924798265e-05,0.0,0.0,4.0400776924798265e-05,4.0400776924798265e-05,0.001252424088306725,0.010867808945477009,0.04088558629155159,0.0822155773639679,0.13356496393680573,0.18600517511367798,0.12669683992862701,0.25630253553390503,0.16063348948955536,0.0010504202218726277,0.00040400776197202504,4.0400776924798265e-05,0.0,0.0,0.0007676147506572306,0.006908532697707415,0.15792663395404816,0.2192954123020172,0.11340497434139252,0.05724789947271347,0.02448287047445774,0.020240789279341698,0.03284583240747452,0.20240788161754608,0.16325953602790833,0.0010908209951594472,0.00012120232713641599,0.0,0.0,0.0,117.47740173339844,109.61592864990234,47.77620315551758
Semi_ripe_141.jpeg,Semi-ripe,Semi-ripe,127.4759521484375,26.923664093017578,118.14456176757812,27.239383697509766,79.54606628417969,44.40378189086914,0.0,0.0,0.00022794620599597692,0.003419192973524332,0.03970823064446449,0.0715751051902771,0.20045588910579681,0.20373831689357758,0.15764759480953217,0.1521768867969513,0.16972874104976654,0.0012764987768605351,4.5589240471599624e-05,0.0,0.0,0.0,0.0,4.5589240471599624e-05,0.00041030318243429065,0.007157510612159967,0.06428083032369614,0.11812172085046768,0.2965124249458313,0.16225211322307587,0.11593344062566757,0.13503533601760864,0.10002279281616211,0.00022794620599597692,0.0,0.0,0.0,0.0,0.00022794620599597692,0.004695691633969545,0.2660132348537445,0.28279006481170654,0.13567358255386353,0.04928196966648102,0.022749030962586403,0.019056303426623344,0.023569637909531593,0.09537269175052643,0.10038750618696213,0.0001823569618863985,0.0,0.0,0.0,0.0,115.2599105834961,103.44309997558594,47.18973159790039
Semi_ripe_142.jpeg,Semi-ripe,Semi-ripe,128.23866271972656,33.85135269165039,120.39013671875,35.55419158935547,90.76724243164062,51.304405212402344,0.0,0.0,0.0012988175731152296,0.0554460771381855,0.06655320525169373,0.07139018177986145,0.09826227277517319,0.13189716637134552,0.16391974687576294,0.17072734236717224,0.23822106420993805,0.002015406731516123,0.00026872087619267404,0.0,0.0,0.0,0.0,4.478681512409821e-05,0.02270691469311714,0.07448047399520874,0.06323898583650589,0.08433356881141663,0.12853816151618958,0.14716947078704834,0.15200644731521606,0.16029201447963715,0.1657560020685196,0.0012988175731152296,0.00013436043809633702,0.0,0.0,0.0,0.0006718022050336003,0.052848439663648605,0.24140092730522156,0.16436761617660522,0.0967395231127739,0.03641168028116226,0.023602651432156563,0.0324256531894207,0.04671264812350273,0.16338230669498444,0.14009316265583038,0.0012988175731152296,4.478681512409821e-05,0.0,0.0,0.0,166.97532653808594,163.52418518066406,162.81063842773438
Semi_ripe_143.jpeg,Semi-ripe,Semi-ripe,127.70682525634766,32.07054901123047,124.29342651367188,32.463558197021484,101.85137939453125,50.7475471496582,0.00020352091814856976,0.00020352091814856976,0.0014755266020074487,0.004375699441879988,0.05540856719017029,0.1071537584066391,0.23145416378974915,0.1352396458387375,0.043248195201158524,0.13620637357234955,0.2844713628292084,0.0005596824921667576,0.0,0.0,0.0,0.0,0.00020352091814856976,0.00030528136994689703,0.0018316882196813822,0.005495064426213503,0.0518469512462616,0.18118448555469513,0.21557952463626862,0.09005800634622574,0.041009463369846344,0.1638343334197998,0.24834638833999634,0.00030528136994689703,0.0,0.0,0.0,0.0,0.00035616158857010305,0.0027475322131067514,0.14404192566871643,0.27760252356529236,0.06716190278530121,0.02269258163869381,0.014653505757451057,0.029052609577775,0.04396051540970802,0.1926325410604477,0.2050981968641281,0.0,0.0,0.0,0.0,0.0,166.7858428955078,164.3452606201172,163.0235137939453
Semi_ripe_144.jpeg,Semi-ripe,Semi-ripe,122.582763671875,28.114910125732422,116.53380584716797,29.491958618164062,82.29554748535156,47.4014892578125,0.0,0.0,0.00014204545004758984,0.004261363763362169,0.04171401634812355,0.10572917014360428,0.280303031206131,0.19427083432674408,0.09431818127632141,0.09053030610084534,0.18844696879386902,0.0002840909000951797,0.0,0.0,0.0,0.0,0.0,0.0,0.0007575757335871458,0.010179923847317696,0.07447917014360428,0.1690814346075058,0.2859848439693451,0.1276988685131073,0.08446969836950302,0.10047348588705063,0.14673295617103577,0.00014204545004758984,0.0,0.0,0.0,0.0,0.0005208333604969084,0.016903409734368324,0.27301135659217834,0.25833332538604736,0.11183711886405945,0.044507574290037155,0.022159090265631676,0.016950758174061775,0.022632576525211334,0.0939393937587738,0.13901515305042267,0.00018939393339678645,0.0,0.0,0.0,0.0,111.78133392333984,104.69010925292969,47.926185607910156
Semi_ripe_145.jpg,Semi-ripe,Semi-ripe,107.89291381835938,38.99779510498047,98.15692901611328,33.229164123535156,41.04064178466797,31.779327392578125,0.010975971817970276,0.010086027905344963,0.028181549161672592,0.05695639178156853,0.14891722798347473,0.17057253420352936,0.12043903768062592,0.123108871281147,0.11984574049711227,0.11509937793016434,0.04983684420585632,0.03589439392089844,0.008602788671851158,0.0014832393499091268,0.0,0.0,0.008306141011416912,0.011272619478404522,0.03263126686215401,0.07238208502531052,0.18421833217144012,0.19697418808937073,0.15188372135162354,0.1385345607995987,0.10797982662916183,0.05754968896508217,0.028774844482541084,0.007416197098791599,0.0017798872431740165,0.0002966478932648897,0.0,0.0,0.21684959530830383,0.2402847856283188,0.22990210354328156,0.10264016687870026,0.08395134657621384,0.05754968896508217,0.03085137903690338,0.01572233811020851,0.012755858711898327,0.005339661613106728,0.003559774486348033,0.0005932957865297794,0.0,0.0,0.0,0.0,80.93112182617188,75.73213958740234,44.98724365234375
Semi_ripe_146.jpg,Semi-ripe,Semi-ripe,121.94287109375,49.45832061767578,111.15784454345703,42.05152130126953,43.975948333740234,32.67859649658203,0.016536379233002663,0.015033072791993618,0.019843656569719315,0.053217075765132904,0.10853878408670425,0.1247745007276535,0.12116656452417374,0.09831629693508148,0.09561034291982651,0.07636801153421402,0.08478652685880661,0.08268190175294876,0.07937462627887726,0.023752255365252495,0.0,0.0,0.010823812335729599,0.017739025875926018,0.024654239416122437,0.06464221328496933,0.13108839094638824,0.1548406481742859,0.12597714364528656,0.10162357240915298,0.10042092949151993,0.10583283007144928,0.09200240671634674,0.06283824145793915,0.007516536395996809,0.0,0.0,0.0,0.22489476203918457,0.18009620904922485,0.17438364028930664,0.15694527328014374,0.12327119708061218,0.07696933299303055,0.030667468905448914,0.012928443029522896,0.00781719759106636,0.009019843302667141,0.003006614511832595,0.0,0.0,0.0,0.0,0.0,77.44718170166016,81.36972045898438,78.79225158691406
Semi_ripe_147.jpg,Semi-ripe,Semi-ripe,137.2035675048828,64.94412994384766,118.17251586914062,53.46494674682617,62.63671112060547,38.64625549316406,0.0023081940598785877,0.003964072559028864,0.008981885388493538,0.24697676301002502,0.05389131233096123,0.04285212606191635,0.04029304161667824,0.03918912261724472,0.04972653090953827,0.0845501497387886,0.07351096719503403,0.062321241945028305,0.0836971253156662,0.11867128312587738,0.08409854769706726,0.004967635031789541,0.00431531947106123,0.008680816739797592,0.029304029420018196,0.25324901938438416,0.06628531217575073,0.03718199580907822,0.044257111847400665,0.054242562502622604,0.07601986825466156,0.10718049108982086,0.13959556818008423,0.1269506812095642,0.051532942801713943,0.001204275176860392,0.0,0.0,0.04927492514252663,0.12168197333812714,0.3411611318588257,0.11731647700071335,0.09513773769140244,0.08500175923109055,0.06026393547654152,0.038888052105903625,0.030257413163781166,0.033518992364406586,0.027196547016501427,0.000301068794215098,0.0,0.0,0.0,0.0,57.380287170410156,55.10610580444336,42.518409729003906
Semi_ripe_148.jpg,Semi-ripe,Semi-ripe,116.7837142944336,64.23359680175781,100.6462631225586,55.526710510253906,55.91727066040039,42.062747955322266,0.000878005928825587,0.01795034296810627,0.06921613216400146,0.24647578597068787,0.08258133381605148,0.06531389057636261,0.05394858866930008,0.04931466653943062,0.0616067498922348,0.06950880587100983,0.054387591779232025,0.04892444238066673,0.04897322133183479,0.041607726365327835,0.08077654987573624,0.008536169305443764,0.003609579987823963,0.04497341439127922,0.10848250985145569,0.2127213329076767,0.13935905694961548,0.0494610033929348,0.046680647879838943,0.04931466653943062,0.06199697405099869,0.07653285562992096,0.07858153432607651,0.04111994430422783,0.06624066829681396,0.02087702974677086,4.877810715697706e-05,0.0,0.07111848145723343,0.25828009843826294,0.2760353088378906,0.13589580357074738,0.037754256278276443,0.03590068593621254,0.034925125539302826,0.03721769526600838,0.04116872325539589,0.04331495985388756,0.027998633682727814,9.755621431395411e-05,0.0002438905357848853,4.877810715697706e-05,0.0,0.0,53.208641052246094,53.8082275390625,42.70582962036133
Semi_ripe_149.JPG,Semi-ripe,Semi-ripe,139.935302734375,36.94373321533203,130.2834930419922,41.528717041015625,48.14496994018555,52.635440826416016,0.0,0.0012189812259748578,0.00757509795948863,0.019503699615597725,0.08123639225959778,0.055289506912231445,0.05720505118370056,0.07444492727518082,0.12642577290534973,0.20861993730068207,0.23874619603157043,0.09351328015327454,0.03595994785428047,0.00026121028349734843,0.0,0.0,0.00017414017929695547,0.006443186663091183,0.03561166673898697,0.08071397244930267,0.04727905988693237,0.04370918497443199,0.05468001589179039,0.09682194143533707,0.14262081682682037,0.23117108643054962,0.16473661363124847,0.08585111051797867,0.010100130923092365,8.707008964847773e-05,0.0,0.0,0.40356987714767456,0.20034827291965485,0.06895951181650162,0.04005224257707596,0.02673051878809929,0.027601219713687897,0.03552459552884102,0.04379625618457794,0.053025685250759125,0.07731824368238449,0.023073574528098106,0.0,0.0,0.0,0.0,0.0,175.772705078125,171.09671020507812,15.003436088562012
