,precision,recall,f1-score,support
Green,1.0,1.0,1.0,42.0
Semi-ripe,0.9090909090909091,0.975609756097561,0.9411764705882353,41.0
Ripe,0.972972972972973,0.9,0.935064935064935,40.0
Overripe,1.0,1.0,1.0,41.0
accuracy,0.9695121951219512,0.9695121951219512,0.9695121951219512,0.9695121951219512
macro avg,0.9705159705159705,0.9689024390243902,0.9690603514132926,164.0
weighted avg,0.9706807694612574,0.9695121951219512,0.9694562969311893,164.0
