fruit,category,image,relative_path,processed_path,mask_path,laws_l5e5_energy,laws_l5s5_energy,laws_l5w5_energy,laws_l5r5_energy,laws_e5e5_energy,laws_e5s5_energy,laws_e5w5_energy,laws_e5r5_energy,laws_s5s5_energy,laws_s5w5_energy,laws_s5r5_energy,laws_w5w5_energy,laws_w5r5_energy,laws_r5r5_energy,laws_bank_mean_energy,laws_bank_std_energy
Apple,Overripe,Apple_Overripe_011.jpg,Apple/Overripe/Apple_Overripe_011.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_011.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_011_mask.png,0.3673136234283447,0.16986480355262756,0.0881035067141056,0.0727238766849041,0.1380016803741455,0.0783957801759243,0.04688394442200661,0.036985231563448906,0.06121430546045303,0.04250749386847019,0.03614191897213459,0.031818486750125885,0.029101582244038582,0.028290776535868645,0.08766764362475701,0.08762831233983559
Apple,Overripe,Apple_Overripe_012.jpg,Apple/Overripe/Apple_Overripe_012.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_012.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_012_mask.png,0.37221166491508484,0.1693691797554493,0.0917828306555748,0.0723587553948164,0.13245585560798645,0.07372744753956795,0.04602422937750816,0.0380261056125164,0.05965140089392662,0.04712734371423721,0.04325837828218937,0.04008794203400612,0.03828720189630985,0.03573775663971901,0.09000757802277803,0.0870194686091787
Apple,Overripe,Apple_Overripe_013.jpg,Apple/Overripe/Apple_Overripe_013.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_013.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_013_mask.png,0.3931909203529358,0.2014307901263237,0.09605614095926285,0.07932761684060097,0.13971751928329468,0.08083126321434975,0.045110685750842094,0.035482658073306084,0.058236654847860336,0.03994731977581978,0.034578027203679085,0.030252497643232346,0.028066981583833694,0.028226880356669426,0.09217542542942933,0.09627940098614181
Apple,Overripe,Apple_Overripe_014.jpg,Apple/Overripe/Apple_Overripe_014.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_014.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_014_mask.png,0.3772381693124771,0.18944687396287918,0.09359796904027462,0.07731491886079311,0.12158164381980896,0.06790614314377308,0.03835182450711727,0.0304282084107399,0.04622088000178337,0.03200306557118893,0.02870956063270569,0.02424018085002899,0.022779958322644234,0.02184806391596794,0.08369053288229875,0.09344142210189574
Apple,Overripe,Apple_Overripe_015.jpg,Apple/Overripe/Apple_Overripe_015.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_015.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_015_mask.png,0.4025704562664032,0.18532606214284897,0.08374322205781937,0.07091008313000202,0.15641212463378906,0.08450855314731598,0.04763433150947094,0.03841432183980942,0.06181485205888748,0.04181029833853245,0.036187367513775826,0.030587418004870415,0.02785575669258833,0.025556307286024094,0.09238079675872411,0.09767490715285404
Apple,Overripe,Apple_Overripe_016.jpg,Apple/Overripe/Apple_Overripe_016.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_016.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_016_mask.png,0.3347844183444977,0.15028391033411026,0.08471886441111565,0.06964654475450516,0.11456296592950821,0.06542255729436874,0.04220343753695488,0.03440875560045242,0.05315680801868439,0.03828100301325321,0.03329395689070225,0.029311561957001686,0.027394531294703484,0.026104873046278954,0.07882672774472407,0.07917574652407079
Apple,Overripe,Apple_Overripe_017.jpg,Apple/Overripe/Apple_Overripe_017.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_017.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_017_mask.png,0.3744640052318573,0.18740327656269073,0.09321971796452999,0.07736927829682827,0.11885540932416916,0.06595282070338726,0.03759204410016537,0.030030066147446632,0.04451575502753258,0.031129362992942333,0.02827016357332468,0.02365141548216343,0.022385104559361935,0.02102406695485115,0.08256160620866078,0.09282590154568285
Apple,Overripe,Apple_Overripe_018.jpg,Apple/Overripe/Apple_Overripe_018.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_018.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_018_mask.png,0.31409382820129395,0.124588493257761,0.054230522364377975,0.042870188131928444,0.12365496158599854,0.06327579729259014,0.03645036555826664,0.02878759615123272,0.051212769001722336,0.03355209529399872,0.029706922359764576,0.025035066530108452,0.02419018466025591,0.024757392704486847,0.0697432987924133,0.07500752866925041
Apple,Overripe,Apple_Overripe_019.jpg,Apple/Overripe/Apple_Overripe_019.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_019.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_019_mask.png,0.3890730142593384,0.1990918517112732,0.09600961953401566,0.07952751778066158,0.13251164555549622,0.07592669501900673,0.0422750823199749,0.03331439197063446,0.05316122621297836,0.036195723339915276,0.032066402956843376,0.027203785255551338,0.025814744643867016,0.026099268347024918,0.08916221206475582,0.09589153023401659
Apple,Overripe,Apple_Overripe_020.jpg,Apple/Overripe/Apple_Overripe_020.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_020.jpg,C:\Users\HP\OneDrive\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_020_mask.png,0.3025643229484558,0.11813337728381157,0.05410343408584595,0.048780204728245735,0.10897223651409149,0.05728061869740486,0.03579370863735676,0.03069769125431776,0.04822205752134323,0.03444262407720089,0.031601996161043644,0.02723877876996994,0.02656462788581848,0.027211623266339302,0.06797195013080325,0.07081301130695569
