fruit,category,image,relative_path,processed_path,mask_path,lbp_bin_0,lbp_bin_1,lbp_bin_2,lbp_bin_3,lbp_bin_4,lbp_bin_5,lbp_bin_6,lbp_bin_7,lbp_bin_8,lbp_bin_9,lbp_entropy,lbp_energy,lbp_dominant,lbp_bin_variance
Apple,Overripe,Apple_Overripe_011.jpg,Apple/Overripe/Apple_Overripe_011.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_011.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_011_mask.png,0.0063179621425694,0.0202942509061619,0.0138504329440193,0.1274982380185259,0.3190130386629077,0.2725030205396697,0.0835053362867499,0.04968158477648,0.0709449254933548,0.036391210229561,2.6206535177795014,0.2087255271857237,0.3190130386629077,2.9043210655288725
Apple,Overripe,Apple_Overripe_012.jpg,Apple/Overripe/Apple_Overripe_012.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_012.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_012_mask.png,0.0063860576318107,0.0200861960488234,0.0113407575185604,0.1105291304894929,0.3067037875928023,0.2873254058135145,0.077466339499182,0.055681389203473,0.0904901220586384,0.033990814143702,2.621573624281513,0.2078579291166884,0.3067037875928023,2.984321406743547
Apple,Overripe,Apple_Overripe_013.jpg,Apple/Overripe/Apple_Overripe_013.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_013.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_013_mask.png,0.0095969125214408,0.0248970840480274,0.015566037735849,0.1171097770154374,0.2656603773584906,0.2321526586620926,0.0684648370497427,0.0571183533447684,0.1598799313893653,0.0495540308747855,2.7883826342618034,0.1751063945876448,0.2656603773584906,4.013500980540706
Apple,Overripe,Apple_Overripe_014.jpg,Apple/Overripe/Apple_Overripe_014.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_014.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_014_mask.png,0.0086980389187552,0.0240592110244567,0.0164685394109184,0.1175512985537972,0.2762644809570682,0.2347902627394563,0.0688839251911865,0.0553399712273794,0.1524948890739759,0.0454493829030059,2.7664767606741294,0.1793203981790462,0.2762644809570682,3.872966963267946
Apple,Overripe,Apple_Overripe_015.jpg,Apple/Overripe/Apple_Overripe_015.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_015.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_015_mask.png,0.0065956166466079,0.022763983024007,0.0130962184075505,0.1268290365490593,0.2937701906632039,0.2663504782415912,0.0840089947425096,0.0571514537277506,0.091143029074555,0.0382909989231646,2.690635267508918,0.1941593709206879,0.2937701906632039,3.186254974178023
Apple,Overripe,Apple_Overripe_016.jpg,Apple/Overripe/Apple_Overripe_016.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_016.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_016_mask.png,0.0038490884813472,0.0165612992887702,0.0084271193830558,0.1196010573071368,0.2994863340327547,0.2935798566640324,0.0829291222715753,0.0561217538218382,0.0914175545684933,0.0280268141809957,2.5845158534762587,0.2097152800467958,0.2994863340327547,2.7889315948773152
Apple,Overripe,Apple_Overripe_017.jpg,Apple/Overripe/Apple_Overripe_017.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_017.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_017_mask.png,0.0076711392496132,0.0226087269326234,0.0150005395877549,0.1153548688801755,0.2616101298607863,0.2361595740853987,0.0669898197776898,0.0573311989639915,0.1738731609050685,0.0434008417568977,2.7586208430790133,0.1782029788279849,0.2616101298607863,3.922718073213282
Apple,Overripe,Apple_Overripe_018.jpg,Apple/Overripe/Apple_Overripe_018.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_018.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_018_mask.png,0.0013445636022998,0.0100014535822727,0.0020996188384262,0.1104237999870792,0.2562504037728535,0.3201030428322243,0.069961722333484,0.0724126235544931,0.1432828348084501,0.0141199366884165,2.50954702412514,0.2112974623968342,0.3201030428322243,2.7563187503951645
Apple,Overripe,Apple_Overripe_019.jpg,Apple/Overripe/Apple_Overripe_019.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_019.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_019_mask.png,0.0090865992414664,0.0240202275600505,0.0153462564966989,0.1163611462284028,0.2656886500913049,0.2322394296951819,0.0688123331928641,0.0569339092569181,0.1640504284309594,0.0474610198061525,2.7792387609182234,0.1761022717424871,0.2656886500913049,3.981178366077014
Apple,Overripe,Apple_Overripe_020.jpg,Apple/Overripe/Apple_Overripe_020.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ProcessedImages\Apple\Overripe\Apple_Overripe_020.jpg,C:\Users\user\Documents\ip-asgm\results\preprocessing\MedianFinal\ROIMasks\Apple\Overripe\Apple_Overripe_020_mask.png,0.0013576865948756,0.0100143891570738,0.001373158806783,0.1086806844906547,0.2090334509221438,0.3191530511201881,0.0679500866443866,0.0806373004084664,0.1871596113380368,0.0146405805173907,2.536596728945577,0.203831816899527,0.3191530511201881,3.021158344342179
