mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,param_classifier__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.5602319240570068,0.025470552145475694,0.07445354461669922,0.00895635021816683,300,8,1,sqrt,,True,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': None, 'classifier__bootstrap': True}",0.9583129683936136,0.938453661034306,0.8572434503468985,0.9583129683936136,0.9583129683936136,0.9341272033124091,0.039203784011675825,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4033524990081787,0.04665614909829107,0.0796231746673584,0.006293832455104657,300,4,1,sqrt,10,False,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 10, 'classifier__bootstrap': False}",0.9583129683936136,0.898249974112043,0.8762204919045854,0.9791463017269469,0.9583129683936136,0.9340485409061605,0.0395902855495589,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4073383331298828,0.10394898269035201,0.11183815002441407,0.0612262208689443,100,4,1,log2,15,False,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__bootstrap': False}",0.9583129683936136,0.938453661034306,0.8361737677527151,0.9583129683936136,0.9375,0.9257506731148496,0.045703480625080624,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4489895820617676,0.02243512550866142,0.05862536430358887,0.0022465061311365123,300,2,2,sqrt,15,False,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': False}",0.9583129683936136,0.898249974112043,0.8762204919045854,0.9583129683936136,0.9375,0.9257192805607712,0.03307015330717191,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.34401440620422363,0.03195797622207957,0.049543142318725586,0.006522782139273934,200,8,1,sqrt,15,False,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 8, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15, 'classifier__bootstrap': False}",0.9583129683936136,0.8962221398261443,0.8572434503468985,0.9583129683936136,0.9583129683936136,0.9256808990707768,0.0418235788256767,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.9537759780883789,0.20677766158594457,0.23069400787353517,0.05849533404355321,500,2,4,log2,10,False,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 10, 'classifier__bootstrap': False}",0.9583129683936136,0.9169482846902203,0.8572434503468985,0.9583129683936136,0.9375,0.9256635343648693,0.037494896925965616,6,1.0,0.9947913487558241,1.0,1.0,1.0,0.9989582697511648,0.002083460497670364
0.8723115444183349,0.04704573324218883,0.08684611320495605,0.005186347563929945,500,6,4,log2,15,False,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__bootstrap': False}",0.9583129683936136,0.9169482846902203,0.8572434503468985,0.9583129683936136,0.9375,0.9256635343648693,0.037494896925965616,6,1.0,0.9947913487558241,1.0,1.0,1.0,0.9989582697511648,0.002083460497670364
0.3439051151275635,0.05938490469703029,0.05477118492126465,0.01402221507028862,200,6,3,log2,15,True,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 3, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__bootstrap': True}",0.9583129683936136,0.9169482846902203,0.8547556773363225,0.9583129683936136,0.9375,0.9251659797627539,0.03840498656655968,8,0.9947913487558241,0.9947913487558241,1.0,0.9947913487558241,0.9947913487558241,0.9958330790046592,0.0020834604976703638
0.7896257877349854,0.019352867264882494,0.12881579399108886,0.01672893082594858,500,6,3,log2,15,True,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 6, 'classifier__min_samples_leaf': 3, 'classifier__max_features': 'log2', 'classifier__max_depth': 15, 'classifier__bootstrap': True}",0.9583129683936136,0.9165032679738562,0.8547556773363225,0.9583129683936136,0.9375,0.9250769764194811,0.038424438632581076,9,1.0,0.9947913487558241,1.0,0.9947913487558241,1.0,0.9979165395023296,0.002551707559268746
0.8224281787872314,0.263241803565947,0.08215622901916504,0.0068765973735164,500,4,4,log2,5,False,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 4, 'classifier__min_samples_leaf': 4, 'classifier__max_features': 'log2', 'classifier__max_depth': 5, 'classifier__bootstrap': False}",0.9375,0.938453661034306,0.8171655930276619,0.9583129683936136,0.9583129683936136,0.9219490381698389,0.053176077719674184,10,0.9842878155436295,0.9843664122137404,0.9895830154224908,1.0,0.9947913487558241,0.9906057183871371,0.006093648953202533
