mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.066212701797485,1.2153292584873694,1.523176670074463,1.1546583134623316,300,2,1,log2,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.8824376435083345,0.8836278298435601,0.8765579843151341,0.8831472889471964,0.9005283119406524,0.8852598117109757,0.008049094978911792,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.32477126121521,2.133650706721956,2.47547926902771,0.23092737205901542,300,4,1,sqrt,,False,"{'n_estimators': 300, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8789031542758264,0.894827697745595,0.8764307841612733,0.8733370440626264,0.8887889569392373,0.8824575274369117,0.008065315034988538,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.908093786239624,2.528031495742539,4.6521568775177,2.5589196047510487,200,6,1,log2,20,False,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}",0.8845994650315484,0.8776267667665822,0.8686977522711749,0.8758628528853734,0.8848568849259659,0.8783287443761288,0.006021095563282548,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.711151552200318,0.9205986989299747,3.874800443649292,0.9892809409122164,400,4,2,sqrt,20,False,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': False}",0.8805786979582728,0.8781022487812028,0.8651056279723218,0.8716057901032709,0.8866283452754794,0.8764041420181096,0.0074232798258711255,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
7.0522315979003904,0.9287258438547122,4.786172580718994,0.7735139724825525,400,2,2,sqrt,30,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",0.8783426056942993,0.8815652657377719,0.8649706391624109,0.8660308660160215,0.8827067338903007,0.8747232221001608,0.007672286328011504,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3.454882001876831,0.03805868614719118,0.3193662166595459,0.0860134785475283,400,8,2,log2,20,False,"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 20, 'bootstrap': False}",0.8767737603681091,0.8744448560730722,0.8685842167822788,0.8701030099323459,0.8826516252878787,0.8745114936887368,0.005018991414775677,6,1.0,0.999047278738671,0.9995236542137163,1.0,1.0,0.9997141865904775,0.000381087020136874
4.067326450347901,0.7606336881841795,0.7189066410064697,0.7565246407992606,400,2,3,sqrt,,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8748727833829991,0.8839006428972679,0.8669709763650933,0.8623030724451153,0.8829374223139391,0.8741969794808829,0.008540413118057118,7,1.0,0.999047278738671,1.0,1.0,1.0,0.9998094557477343,0.0003810885045315793
4.3945714950561525,0.9609582438688079,3.2077889442443848,1.425118491948427,500,8,2,log2,30,False,"{'n_estimators': 500, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.8747244827929129,0.874697110881719,0.8593009412674123,0.8719184133347474,0.882825205382031,0.8726932307317645,0.00762564344826932,8,1.0,0.999047278738671,0.9995236542137163,1.0,1.0,0.9997141865904775,0.000381087020136874
6.5832971096038815,2.293233883322028,3.1792402267456055,1.4180226434800969,400,2,1,sqrt,20,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",0.874938044188647,0.877862358437436,0.8575720032991054,0.8663398829928669,0.8825758975380744,0.871857637291226,0.008887650268439707,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2.8795183658599854,0.3847746139402578,0.555522108078003,0.3624368112337116,400,4,1,log2,,True,"{'n_estimators': 400, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.8672856618127432,0.874062324442265,0.8632969953453679,0.8684696222730515,0.8806930403981875,0.8707615288543231,0.00604291189797802,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0
13.908698892593383,0.8145123682817258,2.972771644592285,0.5015312187945086,300,2,2,0.5,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': None, 'bootstrap': False}",0.8730884713620576,0.881678749979389,0.8597853331650795,0.8549596281372834,0.8587053904782223,0.8656435146244064,0.010091158911276493,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5.318783807754516,1.1760779944206972,2.644721841812134,1.0667730527551549,200,6,4,sqrt,30,False,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",0.8691908606022672,0.8669309073349691,0.8577498953976654,0.8642156355241272,0.8676824982420918,0.8651539594202241,0.004038520506401423,12,0.9985738668481564,0.9966720155112838,0.9990472114317466,0.9980974858976346,0.9990487290731624,0.9982878617523969,0.0008814229372025174
5.942450523376465,3.499033355428012,3.681815671920776,0.5226630519793735,400,8,2,log2,30,True,"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.8651525366608186,0.8554540107642903,0.846219333704754,0.8552894778591767,0.8733296014721532,0.8590889920922387,0.009304182209294845,13,0.9938109384489696,0.9938122462170353,0.9952370126157403,0.9919183685521997,0.9952577267363687,0.9940072585140627,0.0012260504526577904
3.1787901878356934,2.8036827718749633,2.2721537590026855,2.730075167182439,200,4,3,log2,,True,"{'n_estimators': 200, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.8657085663981541,0.8628062280554349,0.8405101324623377,0.8458318836584487,0.8694244846269774,0.8568562590402706,0.011493115138197547,14,0.9933389456445153,0.9947645630708253,0.9938120670207425,0.995727346813235,0.9957218087522471,0.994672946260313,0.0009737491875251146
9.582229137420654,1.4020082899077166,3.9163340091705323,1.0273348973973462,400,6,2,0.5,30,True,"{'n_estimators': 400, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30, 'bootstrap': True}",0.8575033814702311,0.8681518311561834,0.8428413732587506,0.857007662502612,0.8550441869138489,0.8561096870603253,0.008061580739876785,15,0.9966698549531327,0.9957197162295869,0.9976190238464226,0.9980936095983252,0.9961905457807189,0.9968585500816373,0.000881189025899774
11.018491125106811,1.1140045601278932,0.2896754264831543,0.1383107918927804,300,2,3,0.5,,False,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5, 'max_depth': None, 'bootstrap': False}",0.8504815649944732,0.8701714001184799,0.855686433103102,0.850868912638963,0.8516549508389066,0.855772652338785,0.007434098537828485,16,1.0,0.9990462662790913,1.0,1.0,0.9995238537859742,0.9997140240130131,0.0003814215258382182
13.631739711761474,0.7637989021859886,4.498393249511719,0.4447687884015575,300,6,2,0.5,30,True,"{'n_estimators': 300, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 0.5, 'max_depth': 30, 'bootstrap': True}",0.8521370904789631,0.8681925575860303,0.8446177403632014,0.8551103070024106,0.8527583548023917,0.8545632100465994,0.0076696069685747315,17,0.9971429872781769,0.9947659364220572,0.9971417548996271,0.998094759084757,0.9966676607193613,0.9967626196807959,0.001100797861095785
4.9720383644104,0.365053874747935,3.1424333572387697,0.9530344961912091,200,6,4,sqrt,,True,"{'n_estimators': 200, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.8555634704587743,0.8608503635512387,0.8349003485400801,0.8479219847024736,0.8616098974804419,0.8521692129466016,0.00992232341737929,18,0.985755456969405,0.9828490215316922,0.9814344608056017,0.9833411276084897,0.9857192185760622,0.9838198570982503,0.0016861755530935784
