Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.8841463414634146,0.8858739187055995,0.8841463414634146,0.8839816900746735
SVM,0.864329268292683,0.866826944896984,0.864329268292683,0.8642518336598706
KNN,0.8201219512195121,0.82269524101325,0.8201219512195121,0.8183114310059891
