method,IoU,Dice,Precision,Recall,Overall_Score
Otsu + Morphology 7x7,0.19520958153510967,0.2794802621217902,0.21873215004435098,0.5008972372539291,0.298579807738795
Original Otsu,0.1944667332187577,0.2786860267797091,0.21777941017398347,0.5013725936353391,0.2980761909519474
FABR_C,0.1725605380816915,0.2588637551841264,0.2609449646991189,0.3246967223730252,0.2542664950844905
FABR_D,0.17088634312552053,0.2575004298971461,0.26099099243334817,0.3252056292241519,0.2536458486700417
Fruit-Adaptive Hybrid (LOO),0.17600061690184038,0.25446065024098563,0.2473887184113842,0.33653230451973914,0.2535955725184873
FABR_B,0.15899172674575343,0.24003274172222788,0.2674736198960523,0.28378504075646976,0.23757078228012585
FABR_A,0.15921024656923172,0.2407686562215172,0.2656050039557676,0.28049743935450133,0.23652033652525445
FABR_E,0.151460569847853,0.22940980996096344,0.28372664728789254,0.2711435023893109,0.23393513237150498
