fruit,IoU,Dice,Precision,Recall,Overall_Score
Apple,0.039885229185933437,0.07124552597581377,0.15079792002868928,0.0466406011701744,0.07714231909015272
Banana,0.21603677676453215,0.32355708531095934,0.31685481233201696,0.3541063453773328,0.3026387549462103
Grape,0.03806267806267807,0.06832361665132454,0.0721204269233142,0.06490658227145277,0.06085332597719239
Guava,0.29346420047516575,0.405157799193351,0.3328444764040923,0.5269509725988967,0.3896043621678764
Mango,0.23407615499068846,0.32876792452246584,0.3642887808600603,0.40683291441920577,0.3334914436981051
Melon,0.03503431035869637,0.0634046103281653,0.06508270400128739,0.061810877491757794,0.056333125544976714
Orange,0.40858793196933924,0.501100918786097,0.49107715600244467,0.5149839045352912,0.478937477823293
Peach,0.13252556214799885,0.23259733407291486,0.14231820474921195,0.7478290322391419,0.3138175333023169
Pear,0.18633270816153102,0.29599103732777937,0.29111398440134134,0.3047295105743985,0.26954181011626255
