Model,Accuracy,Precision,Recall,F1_Score
Random Forest,0.7718120805369127,0.7723676445472547,0.7718120805369127,0.7718792548730637
SVM,0.761744966442953,0.7649531348360766,0.761744966442953,0.7621711064139813
KNN,0.7130872483221476,0.7132487883156212,0.7130872483221476,0.7127910509856566
