Experiment,Accuracy,Precision,Recall,F1_Score
Colour + Texture WITHOUT Damage,0.7667785234899329,0.767058722326711,0.7667785234899329,0.7665254463352569
Colour + Texture + Damage,0.7768456375838926,0.7769498914384597,0.7768456375838926,0.7767384918684186
