fruit,category,image,method,iou,dice,precision,recall
Guava,Class_A,Guava_Class_A_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Guava,Class_A,Guava_Class_A_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Guava,Class_B,Guava_Class_B_084.jpg,Original Otsu,0.4351953669085844,0.6064614991699655,0.44424904587293274,0.9552659103709068
Guava,Class_B,Guava_Class_B_084.jpg,Otsu + Morphology 7x7,0.4412480637309139,0.6123138338707201,0.4489474276708319,0.9625874969828626
Guava,Class_B,Guava_Class_B_084.jpg,MC-BCS A,0.6196383028054718,0.7651563953904517,0.6890994649648682,0.8600852844154799
Guava,Class_B,Guava_Class_B_084.jpg,MC-BCS B,0.627713544124587,0.7712825716667271,0.7017277763123186,0.8561428916244267
Guava,Class_B,Guava_Class_B_084.jpg,MC-BCS C,0.5786661970177293,0.7331077312111859,0.6815793112985756,0.7930646069675759
Guava,Class_B,Guava_Class_B_084.jpg,MC-BCS D,0.5788827501534684,0.7332814930015552,0.6539116182311038,0.8345804167672379
Guava,Defect,Guava_Defect_084.jpg,Original Otsu,0.3246177433389964,0.49013044702349295,0.35604235786029176,0.7862304295463669
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 7x7,0.321197276652275,0.48622152395915164,0.35391793605050087,0.7764953833801687
Guava,Defect,Guava_Defect_084.jpg,MC-BCS A,0.3695770887688854,0.5396951975899345,0.4831059644670051,0.6113006824568447
Guava,Defect,Guava_Defect_084.jpg,MC-BCS B,0.37279124796410684,0.5431142550143266,0.4902602651147753,0.608741469289442
Guava,Defect,Guava_Defect_084.jpg,MC-BCS C,0.36347852117946416,0.5331635453487606,0.4739451188570982,0.6092934564431955
Guava,Defect,Guava_Defect_084.jpg,MC-BCS D,0.3601692372321911,0.5295947406737409,0.47254045116334004,0.6023183460457647
Mango,Ripe,Mango_Ripe_064.jpg,Original Otsu,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Mango,Overripe,Mango_Overripe_084.jpg,Original Otsu,0.6509676228201212,0.7885892052906073,0.8227931349046397,0.7571155272713075
Mango,Overripe,Mango_Overripe_084.jpg,Otsu + Morphology 7x7,0.6524382030039738,0.7896672950527335,0.826003538766548,0.7563932378089252
Mango,Overripe,Mango_Overripe_084.jpg,MC-BCS A,0.4916677313961341,0.6592188341246146,0.8832382451308283,0.5258462499511967
Mango,Overripe,Mango_Overripe_084.jpg,MC-BCS B,0.48856449477864394,0.6564236840155127,0.8935440484196369,0.5187600046851208
Mango,Overripe,Mango_Overripe_084.jpg,MC-BCS C,0.4799274705349048,0.6485824205444878,0.8708870755461964,0.5166907429820794
Mango,Overripe,Mango_Overripe_084.jpg,MC-BCS D,0.48719711912560393,0.655188357831208,0.8696621228761547,0.5255729512357006
Mango,Rotten,Mango_Rotten_084.jpg,Original Otsu,0.17473071865910508,0.2974821648633676,0.1917588584255251,0.6630380002015925
Mango,Rotten,Mango_Rotten_084.jpg,Otsu + Morphology 7x7,0.17346638092686847,0.2956478067822534,0.19110507754282932,0.6527063804052011
Mango,Rotten,Mango_Rotten_084.jpg,MC-BCS A,0.2873955865852138,0.4464759543684996,0.3625782503381673,0.5808890232839431
Mango,Rotten,Mango_Rotten_084.jpg,MC-BCS B,0.2952348319831616,0.4558784626431352,0.36466142684401454,0.607952827335954
Mango,Rotten,Mango_Rotten_084.jpg,MC-BCS C,0.2741918906418624,0.4303777047329045,0.3587252496050022,0.5377986090111884
Mango,Rotten,Mango_Rotten_084.jpg,MC-BCS D,0.27231705430354286,0.42806477109215085,0.35798786481814177,0.5322548130228808
Melon,Ripe,Melon_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Original Otsu,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,MC-BCS A,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,MC-BCS B,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,MC-BCS C,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,MC-BCS D,0.0,0.0,0.0,0.0
Melon,Rotten,Melon_Rotten_010.jpg,Original Otsu,0.26486373325213153,0.41880200418290425,0.2718482634683752,0.9115739831008056
