method,iou,dice,precision,recall,overall_score
Otsu + Morphology 7x7,0.1952000829088777,0.27969612537326993,0.21972649919769835,0.49762417490564426,0.2980617205963726
Original Otsu,0.19425459175960938,0.27872488437120574,0.2186524399576951,0.49776513544523915,0.2973492628834373
MC-BCS A,0.1775966229131866,0.26068130781677223,0.25123224233719554,0.3505309770294842,0.26001028752415967
MC-BCS D,0.17611295101293953,0.25862513439486795,0.24447835450115474,0.34426437157011947,0.2558702028697704
MC-BCS C,0.17424788839039226,0.2566106659486027,0.2460620414863559,0.3367358162177851,0.253414103010784
MC-BCS B,0.17395290631475277,0.2556169500315893,0.25231882933939914,0.3432212063544926,0.25627747301005843
