fruit,category,image,method,hsv_k,component_ratio,iou,dice,precision,recall
Apple,Rotten,Apple_Rotten_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0954118689105403,0.1742027298014102,0.391652123327516,0.11201231178770485
Banana,Ripe,Banana_Ripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Original Otsu,,,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.3591413230286404,0.5284826779136527,0.3592640447638472,0.9990497683810429
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.19079575791716671,0.32045085254735806,0.5213143277788931,0.2313220097398741
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.18881753113050298,0.3176560341450339,0.5196653848748567,0.22873856752583444
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.1842635849520531,0.3111867785067685,0.517255659856433,0.22253236726452072
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.17843619375461028,0.3028355624178438,0.5092274226370079,0.21549471433661954
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.19189082668243176,0.32199396519654444,0.5295717199184229,0.2313220097398741
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.18990212755466804,0.3191894915675631,0.5279643591501028,0.22873856752583444
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.18532073791977843,0.31269298172410914,0.5256734006734006,0.22253236726452072
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.17945991394233146,0.30430862773875667,0.5176546115985449,0.21549471433661954
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.1930224490807275,0.3235856110326493,0.5382808181315644,0.2313220097398741
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.19102293862368258,0.3207712167902057,0.5367196209587514,0.22873856752583444
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.18641791044776118,0.3142533652031702,0.5345983735197604,0.22253236726452072
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.1805223880597015,0.3058347556735571,0.526594586749873,0.21549471433661954
Banana,Rotten,Banana_Rotten_084.jpg,Original Otsu,,,0.2496537556740996,0.39955668446645703,0.2757333567539083,0.7252391860935183
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 7x7,,,0.24941715652087276,0.3992536123249657,0.2757878656570627,0.7228713881456099
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.18355043599956938,0.31016918319083137,0.7298280659199543,0.1969314878626292
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.18097652177039514,0.30648623140973924,0.7323585042921578,0.19379367432190503
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.1831129381377667,0.30954430846811387,0.7686493090020615,0.19379367432190503
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.15989452674369634,0.27570528708776026,0.7662337662337663,0.1680944039116792
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.163004061502756,0.2803155498737177,0.7371873718737187,0.17306100448534084
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.16020992018659572,0.27617402230249727,0.7499786744007506,0.16924942730090284
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.15688633839318772,0.2712216977358189,0.8034698521046644,0.163147053727838
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.14126235232929638,0.24755456454159275,0.8010322308826627,0.14639921458409533
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.13916783611875558,0.2443324534037277,0.7232430384542528,0.14699597666852754
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.13674367436743676,0.24058840607761542,0.7420157198288727,0.14356940728049744
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.12917958524404508,0.22880255175021785,0.7840883479828713,0.1339442123703005
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.11009849428280312,0.19835806435163938,0.8473714783618937,0.11232602460199818
Grape,Ripe,Grape_Ripe_094.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.5) + Morphology,0.5,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0005),0.5,0.0005,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.001),0.5,0.001,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.5) + Morph + Components(0.0025),0.5,0.0025,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.75) + Morphology,0.75,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0005),0.75,0.0005,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.001),0.75,0.001,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=0.75) + Morph + Components(0.0025),0.75,0.0025,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=1.0) + Morphology,1.0,,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0005),1.0,0.0005,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.001),1.0,0.001,0.0,0.0,0.0,0.0
Grape,Ripe,Grape_Ripe_094.jpg,Otsu + HSV(k=1.0) + Morph + Components(0.0025),1.0,0.0025,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Original Otsu,,,0.0,0.0,0.0,0.0
Grape,Overripe,Grape_Overripe_084.jpg,Otsu + Morphology 7x7,,,0.0,0.0,0.0,0.0
