Image,Fruit Pixels,Blemish Pixels,Blemish Percentage
image_68.jpg,100540,41319,41.10
image_69.jpg,107222,56278,52.49
image_7.jpg,186825,80513,43.10
image_70.jpg,104621,33596,32.11
image_71.jpg,101353,22925,22.62
image_72.jpg,89383,23275,26.04
image_73.jpg,119064,51298,43.08
image_74.jpg,122039,52739,43.21
image_75.jpg,104821,53419,50.96
image_76.jpg,108830,58004,53.30
image_77.jpg,121691,61959,50.92
image_78.jpg,106251,37550,35.34
image_79.jpg,94073,37144,39.48
image_8.jpg,187764,60586,32.27
image_80.jpg,88940,28205,31.71
image_81.jpg,89056,27987,31.43
image_82.jpg,88144,36690,41.63
image_83.jpg,109605,35509,32.40
image_84.jpg,111592,49596,44.44
image_85.jpg,124971,55959,44.78
image_86.jpg,121460,39324,32.38
image_87.jpg,105450,34869,33.07
image_88.jpg,112739,61816,54.83
image_89.jpg,115197,57228,49.68
image_9.jpg,180635,62430,34.56
image_90.jpg,100822,53323,52.89
image_91.jpg,116287,45898,39.47
image_92.jpg,111083,40385,36.36
image_93.jpg,106143,32836,30.94
image_94.jpg,101466,54901,54.11
image_95.jpg,120273,41130,34.20
image_96.jpg,105452,48531,46.02
image_97.jpg,86599,36864,42.57
image_98.jpg,109537,45940,41.94
image_99.jpg,96448,34808,36.09
