Image,Method,Ground Truth (%),Predicted (%),Absolute Error
image_120.jpg,Colour-Based,47.14,24.58,22.56
image_120.jpg,Hybrid,47.14,16.95,30.19
image_121.jpg,Otsu,66.70,85.20,18.50
image_121.jpg,Otsu + Morphology,66.70,81.55,14.85
image_121.jpg,Colour-Based,66.70,33.79,32.91
image_121.jpg,Hybrid,66.70,24.65,42.05
image_122.jpg,Otsu,69.29,79.44,10.15
image_122.jpg,Otsu + Morphology,69.29,76.04,6.75
image_122.jpg,Colour-Based,69.29,33.60,35.69
image_122.jpg,Hybrid,69.29,26.27,43.02
image_123.jpg,Otsu,68.45,69.73,1.28
image_123.jpg,Otsu + Morphology,68.45,64.78,3.66
image_123.jpg,Colour-Based,68.45,34.04,34.41
image_123.jpg,Hybrid,68.45,25.90,42.55
image_124.jpg,Otsu,71.80,80.80,9.00
image_124.jpg,Otsu + Morphology,71.80,77.74,5.94
image_124.jpg,Colour-Based,71.80,36.62,35.17
image_124.jpg,Hybrid,71.80,29.91,41.89
image_125.jpg,Otsu,64.39,75.91,11.52
image_125.jpg,Otsu + Morphology,64.39,72.06,7.66
image_125.jpg,Colour-Based,64.39,33.23,31.16
image_125.jpg,Hybrid,64.39,25.29,39.10
image_126.jpg,Otsu,64.48,77.45,12.97
image_126.jpg,Otsu + Morphology,64.48,73.69,9.21
image_126.jpg,Colour-Based,64.48,35.22,29.26
image_126.jpg,Hybrid,64.48,28.30,36.18
image_127.jpg,Otsu,65.58,74.95,9.36
image_127.jpg,Otsu + Morphology,65.58,71.80,6.21
image_127.jpg,Colour-Based,65.58,38.28,27.31
image_127.jpg,Hybrid,65.58,31.25,34.33
