Image,Method,IoU,Dice,Precision,Recall
image_123.jpg,Otsu + Morphology 5x5,0.5606,0.7184,0.7675,0.6752
image_123.jpg,Hybrid,0.3115,0.4750,0.9129,0.3210
image_124.jpg,Original Otsu,0.6494,0.7875,0.7769,0.7983
image_124.jpg,Otsu + Morphology 5x5,0.6431,0.7828,0.7873,0.7784
image_124.jpg,Hybrid,0.3486,0.5170,0.9381,0.3568
image_125.jpg,Original Otsu,0.5714,0.7273,0.6950,0.7626
image_125.jpg,Otsu + Morphology 5x5,0.5609,0.7187,0.7044,0.7337
image_125.jpg,Hybrid,0.2837,0.4420,0.8255,0.3018
image_126.jpg,Original Otsu,0.6218,0.7668,0.7253,0.8133
image_126.jpg,Otsu + Morphology 5x5,0.6240,0.7685,0.7444,0.7942
image_126.jpg,Hybrid,0.3489,0.5173,0.8899,0.3646
image_127.jpg,Original Otsu,0.6577,0.7935,0.7627,0.8269
image_127.jpg,Otsu + Morphology 5x5,0.6621,0.7967,0.7819,0.8121
image_127.jpg,Hybrid,0.4046,0.5761,0.9251,0.4183
,,,,,
AVERAGE,Original Otsu,0.5530,0.7096,0.6119,0.8650
AVERAGE,Otsu + Morphology 5x5,0.5576,0.7135,0.6254,0.8515
AVERAGE,Hybrid,0.4066,0.5713,0.8273,0.4509
