Image,Method,IoU,Dice,Precision,Recall
image_115.jpg,Otsu + Morphology 7x7,0.5273,0.6905,0.5882,0.8358
image_116.jpg,Original Otsu,0.4988,0.6656,0.5170,0.9343
image_116.jpg,Otsu + Morphology 3x3,0.5038,0.6701,0.5230,0.9323
image_116.jpg,Otsu + Morphology 5x5,0.5122,0.6774,0.5343,0.9253
image_116.jpg,Otsu + Morphology 7x7,0.5187,0.6831,0.5431,0.9205
image_117.jpg,Original Otsu,0.5003,0.6670,0.5964,0.7564
image_117.jpg,Otsu + Morphology 3x3,0.4995,0.6662,0.5993,0.7500
image_117.jpg,Otsu + Morphology 5x5,0.4949,0.6621,0.6010,0.7370
image_117.jpg,Otsu + Morphology 7x7,0.4888,0.6566,0.6039,0.7194
image_118.jpg,Original Otsu,0.5061,0.6720,0.6321,0.7173
image_118.jpg,Otsu + Morphology 3x3,0.5084,0.6741,0.6422,0.7093
image_118.jpg,Otsu + Morphology 5x5,0.5108,0.6762,0.6570,0.6965
image_118.jpg,Otsu + Morphology 7x7,0.5043,0.6705,0.6684,0.6726
image_119.jpg,Original Otsu,0.4529,0.6235,0.5424,0.7330
image_119.jpg,Otsu + Morphology 3x3,0.4524,0.6230,0.5451,0.7269
image_119.jpg,Otsu + Morphology 5x5,0.4495,0.6202,0.5480,0.7142
image_119.jpg,Otsu + Morphology 7x7,0.4470,0.6178,0.5513,0.7025
image_12.jpg,Original Otsu,0.5603,0.7182,0.6015,0.8909
image_12.jpg,Otsu + Morphology 3x3,0.5671,0.7238,0.6114,0.8868
image_12.jpg,Otsu + Morphology 5x5,0.5721,0.7278,0.6194,0.8822
image_12.jpg,Otsu + Morphology 7x7,0.5712,0.7271,0.6230,0.8731
image_120.jpg,Original Otsu,0.4128,0.5844,0.5064,0.6908
image_120.jpg,Otsu + Morphology 3x3,0.4127,0.5842,0.5103,0.6832
image_120.jpg,Otsu + Morphology 5x5,0.4103,0.5819,0.5134,0.6715
image_120.jpg,Otsu + Morphology 7x7,0.4052,0.5767,0.5157,0.6541
image_121.jpg,Original Otsu,0.6121,0.7594,0.7158,0.8087
image_121.jpg,Otsu + Morphology 3x3,0.6127,0.7598,0.7208,0.8033
image_121.jpg,Otsu + Morphology 5x5,0.6093,0.7572,0.7264,0.7907
image_121.jpg,Otsu + Morphology 7x7,0.6009,0.7507,0.7309,0.7716
image_122.jpg,Original Otsu,0.6305,0.7734,0.7486,0.7999
image_122.jpg,Otsu + Morphology 3x3,0.6320,0.7745,0.7554,0.7946
image_122.jpg,Otsu + Morphology 5x5,0.6257,0.7697,0.7595,0.7802
image_122.jpg,Otsu + Morphology 7x7,0.6130,0.7600,0.7627,0.7574
image_123.jpg,Original Otsu,0.5813,0.7352,0.7558,0.7157
image_123.jpg,Otsu + Morphology 3x3,0.5747,0.7299,0.7625,0.7000
