fruit,category,image,method,iou,dice,precision,recall
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 3x3,0.3248854138581828,0.49043549043549045,0.3563953223824908,0.7860798875953432
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 5x5,0.3237057786077394,0.4890902250924823,0.3556350870794201,0.7828683259735046
Guava,Defect,Guava_Defect_084.jpg,Otsu + Morphology 7x7,0.321197276652275,0.48622152395915164,0.35391793605050087,0.7764953833801687
Mango,Ripe,Mango_Ripe_064.jpg,Original Otsu,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Mango,Ripe,Mango_Ripe_064.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Mango,Overripe,Mango_Overripe_084.jpg,Original Otsu,0.6509676228201212,0.7885892052906073,0.8227931349046397,0.7571155272713075
Mango,Overripe,Mango_Overripe_084.jpg,Otsu + Morphology 3x3,0.6507763140207017,0.788448814649688,0.8237583749867063,0.7560418537461445
Mango,Overripe,Mango_Overripe_084.jpg,Otsu + Morphology 5x5,0.6508213793798502,0.7884818884818885,0.823436902282484,0.756373716472104
Mango,Overripe,Mango_Overripe_084.jpg,Otsu + Morphology 7x7,0.6524382030039738,0.7896672950527335,0.826003538766548,0.7563932378089252
Mango,Rotten,Mango_Rotten_084.jpg,Original Otsu,0.17473071865910508,0.2974821648633676,0.1917588584255251,0.6630380002015925
Mango,Rotten,Mango_Rotten_084.jpg,Otsu + Morphology 3x3,0.17478418416284772,0.29755964800870904,0.1919756518685435,0.6612236669690555
Mango,Rotten,Mango_Rotten_084.jpg,Otsu + Morphology 5x5,0.17440215650688587,0.29700585194023066,0.19173158458401185,0.6586533615562947
Mango,Rotten,Mango_Rotten_084.jpg,Otsu + Morphology 7x7,0.17346638092686847,0.2956478067822534,0.19110507754282932,0.6527063804052011
Melon,Ripe,Melon_Ripe_084.jpg,Original Otsu,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Otsu + Morphology 3x3,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Otsu + Morphology 5x5,0.0,0.0,0.0,0.0
Melon,Ripe,Melon_Ripe_084.jpg,Otsu + Morphology 7x7,0.0,0.0,0.0,0.0
Melon,Overripe,Melon_Overripe_014.jpg,Original Otsu,0.0,0.0,0.0,0.0
