Version,Colour_Space,Number_of_Features,Fruit_Count,Accuracy,Precision,Recall,F1_Score,Fisher_Separability,Avg_Processing_Time_ms
Enhanced,Lab,54,9,0.6390291806958474,0.6477402998236331,0.6373456790123457,0.6203874828874829,0.15520689321189496,12.82416835938607
Basic,Lab,3,9,0.5958193041526375,0.5825705929872597,0.5932098765432099,0.5630708907153695,0.4437949238970582,4.578326651004651
