,precision,recall,f1-score,support
Green,0.9545454545454546,1.0,0.9767441860465116,42.0
Semi-ripe,0.8444444444444444,0.926829268292683,0.8837209302325582,41.0
Ripe,0.9428571428571428,0.825,0.88,40.0
Overripe,1.0,0.975609756097561,0.9876543209876543,41.0
accuracy,0.9329268292682927,0.9329268292682927,0.9329268292682927,0.9329268292682927
macro avg,0.9354617604617605,0.931859756097561,0.932029859316681,164.0
weighted avg,0.9355330306549818,0.9329268292682927,0.9326197628901353,164.0
