colour_space,classifier,accuracy,precision,recall,f1_score
CIELAB,SVM,0.9695121951219512,0.9706807694612573,0.9695121951219512,0.9694562969311893
CIELAB,KNN,0.9512195121951219,0.9517905597032086,0.9512195121951219,0.9510046147061928
HSV,KNN,0.9451219512195121,0.9496997553562161,0.9451219512195121,0.9453245189017546
RGB,KNN,0.9329268292682927,0.9355330306549821,0.9329268292682927,0.9326197628901353
RGB,SVM,0.926829268292683,0.9333491265655901,0.926829268292683,0.9280215317029055
HSV,SVM,0.926829268292683,0.9316466054270932,0.926829268292683,0.9258450214437
