Method,Number_of_Features,Fruit_Count,Accuracy,Precision,Recall,F1_Score,Fisher_Separability,Avg_Processing_Time_ms
Lab,3,9,0.5958193041526374,0.5825705929872597,0.5932098765432099,0.5630708907153695,0.4437949238970582,4.72377734917394
HSV,3,9,0.5541526374859708,0.5650301087801088,0.5506172839506173,0.5239419731550794,0.27499559865944156,4.53919732849412
RGB,3,9,0.5028058361391694,0.4794935260213038,0.49969135802469133,0.46553984061079007,0.30499806997389095,4.461395243007784
