fruit,category,image_count,mean_damage_percentage,std_damage_percentage,min_damage_percentage,max_damage_percentage
Apple,Overripe,100,18.560677243392902,2.4628493226995523,13.922575734781784,23.98838853365469
Apple,Ripe,100,16.600632928139877,3.733359961749384,0.0,25.291637425401632
Apple,Rotten,100,19.62361285964377,6.1471267485628465,10.58399949888373,36.636783854166666
Apple,Unripe,100,18.327200478382856,3.683546254475562,7.735124030400847,27.367471094315505
Banana,Overripe,100,17.903695011534552,3.995692787388982,9.830706607425014,28.50268227578734
Banana,Ripe,100,15.201061524806459,4.475775719358818,3.413886327307341,24.719588610991842
Banana,Rotten,100,15.985881596020397,4.163839953921369,6.247100904939991,26.808327662411248
Banana,Unripe,99,15.791558277840632,2.704517004228342,8.879494867714758,23.372317213744648
Grape,Overripe,100,15.723705927638816,5.912626234141167,5.192108919344111,31.139451545294534
Grape,Ripe,85,16.45732983199616,7.245542811464917,0.0,26.510390138123203
Grape,Rotten,97,15.699730197760541,4.812048409486448,4.3679118825057675,30.149992426056542
Grape,Unripe,80,16.01131662462336,5.778590199817467,0.0,24.268653407593415
Guava,Class_A,100,14.705726289290745,3.773389248525928,3.561499048060208,19.404836632876382
Guava,Class_B,100,15.051401640212754,3.429456023785647,4.879365795329531,20.13701504910375
Guava,Defect,100,17.298857440491712,3.539051678104405,4.768405600927974,22.45965756082354
Mango,Overripe,100,16.889349232363863,4.658093734344127,6.16924390397258,31.56436155231391
Mango,Ripe,99,16.339106347321056,3.8233233771135002,4.95214556512535,22.869348487060236
Mango,Rotten,100,15.727708122987027,3.854936773528863,6.15506404476527,27.058372641509433
Mango,Unripe,100,14.541937347284058,2.9117845479915254,7.4280059093714215,24.249264117274276
Melon,Overripe,50,17.273790417649483,3.2711862980022173,8.051022127107544,24.20101383740253
Melon,Ripe,100,13.291575364871585,5.862448962896966,3.819946209121235,31.02815058216426
Melon,Rotten,28,20.92236412148112,3.983144718709759,16.39062015770807,31.588092007213657
Melon,Unripe,96,12.902380221267393,4.349748643132938,4.055052872926201,29.05486476501617
Orange,Overripe,100,17.8498223561549,4.038913293711455,9.157163947247575,29.60814174511224
Orange,Ripe,100,10.886616857651754,3.550608787030789,2.8306306219601325,21.106601459824397
Orange,Rotten,100,16.0509055721917,4.2770159522582505,5.173673762991494,26.60073766314736
Orange,Unripe,100,18.016859365217933,3.1068577315442996,10.574848089142115,25.68449848114595
Peach,Overripe,100,15.04146292862576,1.2888423278703014,12.94293675682521,19.012975995978383
Peach,Ripe,100,14.543131857847747,1.9795659746854768,8.85802029843385,18.206427711373525
Peach,Rotten,100,15.023304609940777,3.729060062076226,9.188754372335662,26.220899846575467
Peach,Unripe,100,15.421600638811407,1.956941061921699,10.360734199155225,21.610100894050802
Pear,Overripe,79,15.485743491706517,3.7206339208806845,6.527761358594514,25.945868578757437
Pear,Ripe,68,14.708123276169628,5.178835043209136,4.102066399565619,29.507384633013956
Pear,Rotten,100,17.92545320469289,3.8312610000575296,6.806741615141415,26.653848505840706
Pear,Unripe,99,16.467332071751947,4.32661297119379,4.875304183438938,27.57683044619002
