fruit,category,image,method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.30461375124056594,0.4669792127377267,0.4063048363759505,0.5489559936777306
Apple,Rotten,Apple_Rotten_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.3046951578121937,0.46707486570752416,0.42582191780821915,0.5171782713584561
Banana,Ripe,Banana_Ripe_084.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Otsu + Morphology 7x7,,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.0,0.0,0.0,0.0
Banana,Ripe,Banana_Ripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.0,0.0,0.0,0.0
Banana,Overripe,Banana_Overripe_084.jpg,Original Otsu,,,,0.3593079141300865,0.5286630209315482,0.3594384375400658,0.9989903789048581
Banana,Overripe,Banana_Overripe_084.jpg,Otsu + Morphology 7x7,,,,0.3591413230286404,0.5284826779136527,0.3592640447638472,0.9990497683810429
Banana,Overripe,Banana_Overripe_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.11148479991592002,0.20060517233227743,0.4918849988407141,0.12599477372609574
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.5078463917914671,0.6736049435222596,0.5819482568569391,0.79953082313814
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.4473330246301074,0.6181480240104817,0.6347224829485013,0.6024171516807222
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.3179444275428456,0.4824853323073964,0.6849636790649407,0.3724017104169141
Banana,Overripe,Banana_Overripe_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.19791411861504593,0.33043123132042546,0.44074679344327244,0.26428316902244925
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.4816794313736294,0.650180357740508,0.5580356192948486,0.7787742012115453
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.4160460810532812,0.5876165848272656,0.5752318106832015,0.6005463831809004
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.33708615165539335,0.5042100708889407,0.5734726322961617,0.4498752821000119
Banana,Overripe,Banana_Overripe_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.23375248740420848,0.3789293067947838,0.4487888148268574,0.3278892980163915
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.47115140985268034,0.6405206244540947,0.546785406733738,0.7730431167597102
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.4127814146575124,0.584352838131834,0.5573160873080032,0.6141465732272241
Banana,Overripe,Banana_Overripe_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.3486956891782629,0.5170857918152273,0.5515987882867721,0.4866373678584155
Banana,Rotten,Banana_Rotten_084.jpg,Original Otsu,,,,0.2496537556740996,0.39955668446645703,0.2757333567539083,0.7252391860935183
Banana,Rotten,Banana_Rotten_084.jpg,Otsu + Morphology 7x7,,,,0.24941715652087276,0.3992536123249657,0.2757878656570627,0.7228713881456099
Banana,Rotten,Banana_Rotten_084.jpg,Local Contrast-Guided Otsu (11x11),11.0,,,0.10965449862332356,0.1976371902414036,0.5867312993061496,0.11883265636129131
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.23692267454383212,0.3830840511209926,0.2829542113773335,0.5928927560783106
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.2412727188211779,0.38875053831894696,0.28763137964793023,0.599514890176526
Banana,Rotten,Banana_Rotten_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.25346426539118133,0.4044220045029846,0.29679621092061664,0.6345120988700022
