fruit,samples,fruit_accuracy,condition_accuracy,overall_accuracy,avg_fruit_confidence,avg_condition_confidence,avg_surface_damage,avg_processing_time_seconds
Apple,40,1.0,0.8,0.8,79.88333333333334,60.89307311698515,17.464422127156894,0.35386288752779366
Banana,39,0.9743589743589743,0.7948717948717948,0.7948717948717948,68.03418803418803,58.437528442318815,16.277454549192473,0.5161987384781241
Grape,36,0.8611111111111112,0.8055555555555556,0.7222222222222222,56.388888888888886,50.967575739030444,13.531688020849701,0.5680564111098647
Guava,30,0.9666666666666667,0.9666666666666667,0.9666666666666667,68.92222222222222,73.15503381784036,14.876129585389306,0.6081873333236824
Mango,40,0.925,0.775,0.725,60.6,57.48233663445812,14.788634165336262,0.5471440750290639
Melon,40,0.7,0.625,0.5,40.983333333333334,49.6268547904338,15.699248875608669,0.4297851374896709
Orange,40,0.975,0.75,0.75,53.91666666666667,58.34669320603673,15.544457079582816,0.5245162399951369
Peach,40,0.975,0.7,0.675,72.33333333333333,51.53805711504947,15.002984684670414,0.4517274550104048
Pear,39,0.6666666666666666,0.8205128205128205,0.5897435897435898,54.350427350427346,53.49634416524148,15.79849898556577,0.4240387897663869
