Method,Overall_MAE,RMSE,Low_MAE,Moderate_MAE,High_MAE
AWDP_A,11.675044547548342,14.904489088647425,12.891942510366047,2.806728555827234,24.47407862932032
A-AWDP_D,11.819129160247465,14.952634614016068,13.395099784770782,2.788729894108466,23.976324215537048
A-AWDP_E,12.953263656762067,15.599663498858979,15.587165508457636,4.094590112291596,22.05073122240044
A-AWDP_B,13.095384293552867,15.910693836035335,17.296371067244575,3.8574102596326423,18.801171943010832
A-AWDP_C,17.20197454108924,19.658095803262718,23.65479289903338,9.751016345996256,13.836371561601833
Raw Otsu,37.426242722190096,42.85154070533118,47.58127835410438,31.89725940598915,20.975320048374677
