method,MAE,RMSE,intensity_weight,colour_weight,texture_weight
AWDP_A,11.675044547548342,14.904489088647425,0.5,0.3,0.2
AWDP_C,11.944501275294046,15.042429822458601,0.4,0.3,0.3
AWDP_B,12.211614283133851,15.211944484415097,0.4,0.4,0.2
AWDP_D,12.220944813396997,15.235198251767565,0.33,0.34,0.33
AWDP_E,12.815800433648848,15.607690349871602,0.3,0.5,0.2
